TRADEDATE,CLOSE,NAME
2020-07-23,184.69,GAZP
2020-07-24,185.45,GAZP
2020-07-27,185.03,GAZP
2020-07-28,184.3,GAZP
2020-07-29,184.69,GAZP
2020-07-30,182.52,GAZP
2020-07-31,182.59,GAZP
2020-08-03,183.6,GAZP
2020-08-04,183.31,GAZP
2020-08-05,189.15,GAZP
2020-08-06,189.07,GAZP
2020-08-07,187.23,GAZP
2020-08-10,187.7,GAZP
2020-08-11,189.7,GAZP
2020-08-12,192.8,GAZP
2020-08-13,193.76,GAZP
2020-08-14,192.83,GAZP
2020-08-17,190.47,GAZP
2020-08-18,190.3,GAZP
2020-08-19,189.26,GAZP
2020-08-20,186.95,GAZP
2020-08-21,184.51,GAZP
2020-08-24,187.1,GAZP
2020-08-25,186.25,GAZP
2020-08-26,187.48,GAZP
2020-08-27,184.58,GAZP
2020-08-28,182.9,GAZP
2020-08-31,181.01,GAZP
2020-09-01,184.22,GAZP
2020-09-02,181.95,GAZP
2020-09-03,179.13,GAZP
2020-09-04,179.55,GAZP
2020-09-07,177.04,GAZP
2020-09-08,172.95,GAZP
2020-09-09,173.69,GAZP
2020-09-10,173.8,GAZP
2020-09-11,178.05,GAZP
2020-09-14,178.19,GAZP
2020-09-15,182.22,GAZP
2020-09-16,183.26,GAZP
2020-09-17,183.9,GAZP
2020-09-18,181.52,GAZP
2020-09-21,177.17,GAZP
2020-09-22,179.0,GAZP
2020-09-23,177.0,GAZP
2020-09-24,174.23,GAZP
2020-09-25,173.77,GAZP
2020-09-28,172.74,GAZP
2020-09-29,171.44,GAZP
2020-09-30,169.97,GAZP
2020-10-01,168.4,GAZP
2020-10-02,169.47,GAZP
2020-10-05,170.64,GAZP
2020-10-06,171.35,GAZP
2020-10-07,168.23,GAZP
2020-10-08,167.43,GAZP
2020-10-09,166.97,GAZP
2020-10-12,169.05,GAZP
2020-10-13,166.37,GAZP
2020-10-14,167.24,GAZP
2020-10-15,167.16,GAZP
2020-10-16,163.98,GAZP
2020-10-19,163.6,GAZP
2020-10-20,166.53,GAZP
2020-10-21,164.37,GAZP
2020-10-22,165.27,GAZP
2020-10-23,164.96,GAZP
2020-10-26,162.17,GAZP
2020-10-27,159.21,GAZP
2020-10-28,154.3,GAZP
2020-10-29,156.74,GAZP
2020-10-30,154.28,GAZP
2020-11-02,157.74,GAZP
2020-11-03,161.09,GAZP
2020-11-05,163.7,GAZP
2020-11-06,164.92,GAZP
2020-11-09,170.13,GAZP
2020-11-10,172.92,GAZP
2020-11-11,170.53,GAZP
2020-11-12,172.91,GAZP
2020-11-13,180.3,GAZP
2020-11-16,185.32,GAZP
2020-11-17,182.9,GAZP
2020-11-18,185.0,GAZP
2020-11-19,184.16,GAZP
2020-11-20,183.21,GAZP
2020-11-23,184.15,GAZP
2020-11-24,186.76,GAZP
2020-11-25,188.03,GAZP
2020-11-26,185.52,GAZP
2020-11-27,185.9,GAZP
2020-11-30,181.89,GAZP
2020-12-01,185.34,GAZP
2020-12-02,187.22,GAZP
2020-12-03,185.12,GAZP
2020-12-04,188.79,GAZP
2020-12-07,190.76,GAZP
2020-12-08,190.0,GAZP
2020-12-09,189.35,GAZP
2020-12-10,192.95,GAZP
2020-12-11,201.5,GAZP
2020-12-14,199.91,GAZP
2020-12-15,201.0,GAZP
2020-12-16,206.2,GAZP
2020-12-17,214.52,GAZP
2020-12-18,212.69,GAZP
2020-12-21,203.46,GAZP
2020-12-22,208.4,GAZP
2020-12-23,207.63,GAZP
2020-12-24,206.24,GAZP
2020-12-25,205.03,GAZP
2020-12-28,206.11,GAZP
